original_path,generated_path,image_pair_id,user_1_rating,user_3_rating,user_4_rating,user_5_rating,user_6_rating,user_8_rating,user_9_rating,user_11_rating,user_12_rating,user_13_rating,user_14_rating,user_15_rating,user_17_rating,user_18_rating
images/original/628.png,images/real_gpt4_no_action/628.png,1,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,5.0,1.0,4.0,3.0,4.0
images/original/853.png,images/real_gpt4_direct/853.png,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0
images/original/368.png,images/real_gpt4_self-refine/368.png,3,5.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0
images/original/695.png,images/real_gemini_cot/695.png,4,5.0,4.0,3.0,5.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0
images/original/WebSight_270.png,images/syn_gpt4_cot/WebSight_270.png,5,5.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0
images/original/952.png,images/real_gpt4_direct/952.png,6,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,5.0,3.0,3.0,3.0,4.0
images/original/WebSight_248.png,images/syn_gpt4_cot/WebSight_248.png,7,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0
images/original/156.png,images/real_gpt4_no_action/156.png,8,3.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0
images/original/822.png,images/real_gpt4_self-refine/822.png,9,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0
images/original/321.png,images/real_gpt4_no_action/321.png,10,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0
images/original/WebSight_175.png,images/syn_gpt4_cot/WebSight_175.png,11,3.0,4.0,2.0,5.0,2.0,3.0,3.0,5.0,1.0,5.0,4.0,5.0,4.0,4.0
images/original/WebSight_242.png,images/syn_gpt4_cot/WebSight_242.png,12,3.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0
images/original/829.png,images/real_gpt4_self-refine/829.png,13,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
images/original/605.png,images/real_gemini_direct/605.png,14,5.0,4.0,3.0,4.0,2.0,3.0,5.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0
images/original/WebSight_231.png,images/syn_gpt4_cot/WebSight_231.png,15,5.0,4.0,5.0,5.0,4.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0
images/original/396.png,images/real_gpt4_direct/396.png,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
images/original/1176.png,images/real_gpt4_no_action/1176.png,17,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0
images/original/137.png,images/real_gpt4_no_action/137.png,18,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0
images/original/252.png,images/real_gpt4_self-refine/252.png,19,3.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0
images/original/595.png,images/real_gemini_no_action/595.png,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
images/original/1050.png,images/real_gemini_self-refine/1050.png,21,4.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0
images/original/WebSight_102.png,images/syn_gpt4_cot/WebSight_102.png,22,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0
images/original/368.png,images/real_gemini_direct/368.png,23,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0
images/original/628.png,images/real_gpt4_cot/628.png,24,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
images/original/673.png,images/real_gpt4_no_action/673.png,25,4.0,4.0,4.0,5.0,2.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0
images/original/365.png,images/real_gpt4_no_action/365.png,26,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0
images/original/1053.png,images/real_gpt4_no_action/1053.png,27,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0
images/original/363.png,images/real_gemini_direct/363.png,28,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,3.0,3.0
images/original/268.png,images/real_gemini_self-refine/268.png,29,2.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0
images/original/628.png,images/real_gpt4_direct/628.png,30,2.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0
images/original/340.png,images/real_gpt4_no_action/340.png,31,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0
images/original/223.png,images/real_gpt4_self-refine/223.png,32,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0
images/original/1175.png,images/real_gemini_no_action/1175.png,33,3.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,5.0,3.0,4.0,4.0,4.0
images/original/WebSight_271.png,images/syn_gpt4_cot/WebSight_271.png,34,3.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0,1.0,5.0,4.0,5.0,4.0,4.0
images/original/513.png,images/real_gpt4_no_action/513.png,35,2.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,5.0,1.0,3.0,3.0,2.0
images/original/695.png,images/real_gpt4_cot/695.png,36,1.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0
images/original/378.png,images/real_gemini_cot/378.png,37,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0
images/original/550.png,images/real_gpt4_no_action/550.png,38,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0
images/original/1197.png,images/real_gpt4_self-refine/1197.png,39,5.0,5.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0
images/original/847.png,images/real_gemini_cot/847.png,40,4.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0
images/original/341.png,images/real_gpt4_self-refine/341.png,41,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
images/original/318.png,images/real_gpt4_cot/318.png,42,2.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0
images/original/846.png,images/real_gpt4_cot/846.png,43,2.0,2.0,2.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0
images/original/77.png,images/real_gemini_self-refine/77.png,44,3.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0
images/original/502.png,images/real_gpt4_direct/502.png,45,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0
images/original/360.png,images/real_gpt4_no_action/360.png,46,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0
images/original/77.png,images/real_gpt4_self-refine/77.png,47,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0
images/original/WebSight_264.png,images/syn_gpt4_cot/WebSight_264.png,48,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
images/original/853.png,images/real_gpt4_cot/853.png,49,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
images/original/847.png,images/real_gpt4_direct/847.png,50,2.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0
images/original/1087.png,images/real_gemini_direct/1087.png,51,3.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0
images/original/1043.png,images/real_gpt4_no_action/1043.png,52,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
images/original/WebSight_19.png,images/syn_gpt4_cot/WebSight_19.png,53,5.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
images/original/339.png,images/real_gemini_direct/339.png,54,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0
images/original/1027.png,images/real_gemini_self-refine/1027.png,55,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0
images/original/WebSight_267.png,images/syn_gpt4_cot/WebSight_267.png,56,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0
images/original/1197.png,images/real_gemini_no_action/1197.png,57,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
images/original/585.png,images/real_gpt4_direct/585.png,58,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
images/original/105.png,images/real_gpt4_cot/105.png,59,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
images/original/342.png,images/real_gpt4_cot/342.png,60,1.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0
images/original/WebSight_37.png,images/syn_gpt4_cot/WebSight_37.png,61,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0
images/original/WebSight_46.png,images/syn_gpt4_cot/WebSight_46.png,62,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
images/original/707.png,images/real_gpt4_self-refine/707.png,63,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
images/original/627.png,images/real_gpt4_direct/627.png,64,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
images/original/952.png,images/real_gpt4_cot/952.png,65,2.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,4.0
images/original/1175.png,images/real_gpt4_no_action/1175.png,66,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0
images/original/396.png,images/real_gpt4_cot/396.png,67,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
images/original/252.png,images/real_gemini_self-refine/252.png,68,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0
images/original/WebSight_297.png,images/syn_gpt4_cot/WebSight_297.png,69,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
images/original/412.png,images/real_gpt4_self-refine/412.png,70,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0
